Date,Open,High,Low,Close,Adj Close,Volume
2024-06-30,74.911057,75.804184,74.089035,75.279999,75.279999,284483188
2024-07-01,75.270493,75.802681,74.189568,74.340248,74.340248,258562233
2024-07-02,74.338417,76.042,74.236229,75.863907,75.863907,226870728
2024-07-03,75.869843,76.066666,71.811661,72.07505,72.07505,395211144
2024-07-04,72.065887,72.294716,65.211349,65.315697,65.315697,449109396
2024-07-05,65.308617,65.398636,57.513309,61.887257,61.887257,714310543
2024-07-06,61.887772,65.580559,61.595318,65.43029,65.43029,266484568
2024-07-07,65.429436,65.534492,61.724735,62.062256,62.062256,239300654
2024-07-08,62.061871,66.134888,59.440605,64.869331,64.869331,397070221
2024-07-09,64.86528,66.1782,64.360031,65.316864,65.316864,227402086
2024-07-10,65.317078,67.195724,64.584305,66.938148,66.938148,235892135
2024-07-11,66.940315,69.083244,66.582932,67.435982,67.435982,255074186
2024-07-12,67.4319,69.343994,66.875702,69.275726,69.275726,308924534
2024-07-13,69.277061,70.576851,69.253845,69.851257,69.851257,236979172
2024-07-14,69.845215,70.503105,69.344749,69.966858,69.966858,229260943
